userId,movieId,rating,timestamp
79073,122922,3.5,1550426692
109999,79132,3.5,1449720190
112911,109487,5.0,1489080971
133332,122886,4.5,1456971364
30683,122918,4.5,1506614561
144488,79695,2.5,1432118338
127858,109374,4.0,1508861694
81830,122898,3.0,1546478379
90579,122900,4.5,1456456295
139272,122918,4.0,1567199999
155408,79357,3.0,1443030393
72800,109487,4.0,1455227318
102582,109487,4.0,1457483333
88128,122916,4.5,1559360596
118253,79132,4.5,1561949651
57991,79132,3.5,1473037471
112860,79132,5.0,1371753682
109444,109374,4.5,1562762817
64030,122886,5.0,1455600671
50893,109487,4.5,1439163746
100398,122918,3.0,1507664488
36476,79132,4.0,1447421680
107372,109374,5.0,1423073203
94999,122918,4.0,1515026571
85407,109487,5.0,1534017591
22347,122904,3.5,1471238419
79967,122904,3.0,1480751135
148725,79132,5.0,1376765941
41261,79702,4.0,1483990447
142180,79428,2.5,1296936829
108855,109374,3.0,1535824395
89634,122916,4.5,1511453345
6467,79132,4.5,1484352625
53214,79293,1.0,1561812792
108943,79132,4.0,1490189815
134643,79592,5.0,1479874424
19223,109487,5.0,1505510166
6325,109189,4.5,1420078340
97988,109487,4.0,1546182106
84970,122904,4.0,1478476860
94845,109487,3.5,1416650074
46066,109487,5.0,1550338302
22942,109374,3.5,1446664469
64357,122886,5.0,1452848772
108778,122918,2.0,1513807404
127283,122906,3.0,1530937920
82771,79132,5.0,1469306584
79396,122886,4.0,1563109343
155616,79185,3.0,1487680646
140581,122912,3.0,1538849615
35384,122900,2.0,1569764641
132833,122892,4.0,1492630939
57979,122904,4.5,1503586984
128946,122922,2.0,1567302829
141420,109282,3.5,1554473894
146275,109487,4.5,1438877321
12552,122904,3.0,1466562645
123167,109487,0.5,1448213899
107562,122922,3.5,1485551752
80974,80264,3.5,1284234012
142754,79132,4.0,1462058477
18768,109487,4.0,1440981320
18580,122940,3.5,1539202703
100224,122924,4.0,1497297319
11203,109374,5.0,1508178955
104490,79132,5.0,1506882851
49650,122924,2.5,1505087342
100260,79702,4.0,1372712663
106582,109487,4.0,1428679266
66763,79242,3.5,1436404345
3180,122896,2.0,1554575041
6912,109487,4.5,1431054764
159417,122900,3.5,1475944759
137566,79132,3.5,1531693347
145792,79224,3.5,1445872356
77281,122896,5.0,1528154113
152875,79132,4.5,1425555572
106742,79357,4.0,1498761283
25144,122892,4.5,1432091966
29730,122886,4.0,1450915225
29388,122904,4.0,1494132724
3817,79132,4.0,1468183630
148328,79702,4.0,1560014136
34324,109487,5.0,1474819440
132082,79132,3.5,1429113127
118332,109487,3.5,1514898944
12260,79132,5.0,1457361687
151800,122892,3.5,1563989103
161675,122886,1.0,1496260961
53086,109487,5.0,1569399955
156581,79132,5.0,1506529336
124794,122922,4.5,1559676987
139408,109487,5.0,1506896450
113500,109364,5.0,1504388042
104502,109374,5.0,1502852205
134929,122886,3.0,1506108641
11895,80166,3.0,1482002566
124304,79293,2.5,1446591447
98769,79132,4.5,1461561337
160116,109374,4.5,1488899072
23954,109487,5.0,1473507904
142341,122886,2.5,1551710622
118299,79132,5.0,1529612676
119194,79224,2.0,1481918240
137549,80219,1.0,1446378046
16770,79132,3.5,1313966691
75132,122926,4.0,1545105325
14200,79132,5.0,1558765422
134185,122918,4.0,1560088964
107905,122916,2.0,1526912871
38627,123288,5.0,1488354377
6186,80241,2.0,1415991719
118426,122924,5.0,1566761273
75889,79132,3.5,1570497475
93074,79293,2.5,1515993292
1477,80219,4.0,1561479338
23555,109487,5.0,1461070379
50587,80166,3.5,1330193539
109883,122920,3.5,1495026673
9947,79592,3.0,1437997935
83288,79357,4.0,1478980991
36979,122912,3.5,1544846034
135218,109374,4.0,1445912523
24780,109487,4.0,1471266980
104822,122902,2.5,1479879654
36783,79132,0.5,1353891706
53722,79494,2.5,1295521701
24885,109487,3.0,1439777509
18347,79695,3.5,1523993705
107914,79702,5.0,1551915441
208,122904,5.0,1466447382
115900,122902,2.0,1446962958
159927,79496,3.0,1287372656
46107,79357,4.5,1345630164
137364,122910,4.5,1555368946
100151,79132,4.5,1565444744
23020,122904,5.0,1542866244
40636,109366,2.0,1553878410
82151,79132,5.0,1542657398
136915,122904,2.5,1488216261
97846,122912,3.5,1547877623
73146,122886,2.0,1523511752
91529,122906,3.5,1569618668
27696,109487,5.0,1569443122
28731,79132,5.0,1444882327
67533,79132,4.5,1420134755
31187,79702,4.5,1452822647
159996,122896,3.0,1516857476
107592,122892,3.5,1544818803
106706,122904,5.0,1466008462
155162,79553,4.5,1448155305
149852,122900,4.5,1512143188
24407,109487,5.0,1522933979
5017,122918,3.5,1542570150
139493,122918,4.0,1505377744
145205,122922,4.0,1479064903
144647,79132,4.0,1288812216
40679,79132,4.5,1288809461
61427,79702,3.5,1468089511
97328,79132,4.5,1431807238
40284,122886,3.0,1469153895
